mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20161118,512192.24,1370.26,1.28,1.0,112192.24,1192.78,513.27,400856.99,103213.75,335.79,0.19,0.0027,-0.0027,110821.98,111212.83
20161121,516251.95,4059.71,1.29,1.01,116251.95,4235.21,219.78,403839.93,94446.23,395.28,0.79,0.0079,-0.008,112192.24,112192.24
20161122,520329.05,4077.1,1.3,1.01,120329.05,3591.69,759.84,403317.26,80091.68,274.43,0.79,0.0079,-0.0079,116251.95,116251.95
20161123,520545.56,216.51,1.3,1.0,120545.56,1230.89,-795.99,401012.49,115673.86,218.4,0.04,0.0004,-0.0004,120329.05,120329.05
20161124,521675.45,1129.9,1.3,1.0,121675.45,2096.79,-641.37,401771.27,53100.35,325.52,0.22,0.0022,-0.0022,120545.56,120545.56
20161125,522258.2,582.75,1.31,1.0,122258.2,571.32,223.57,400359.18,66595.67,212.14,0.11,0.0011,-0.0011,121675.45,121675.45
20161128,522658.58,400.38,1.31,1.0,122658.58,2044.82,-1381.59,401781.98,72113.73,262.84,0.08,0.0008,-0.0008,122258.2,122258.2
20161129,521054.56,-1604.02,1.3,1.0,121054.56,-1251.67,-89.51,398485.48,40555.68,262.85,-0.31,-0.0031,0.0031,122658.58,122658.58
20161130,520021.02,-1033.54,1.3,1.0,120021.02,-893.72,93.05,398873.41,100742.53,232.87,-0.5,-0.002,0.002,121054.56,122658.58
20161201,523874.29,3853.27,1.31,1.01,123874.29,4796.51,-642.74,404496.01,109488.51,300.5,0.23,0.0074,-0.0074,120021.02,122658.58
20161202,522149.06,-1725.23,1.31,1.0,122149.06,-1075.51,-328.03,398602.81,77504.21,321.68,-0.33,-0.0033,0.0033,123874.29,123874.29
20161205,521731.47,-417.59,1.3,1.0,121731.47,-544.08,476.14,399106.27,106787.0,349.65,-0.41,-0.0008,0.0008,122149.06,123874.29
20161206,525837.34,4105.87,1.31,1.01,125837.34,4660.43,-233.58,404339.45,86991.9,320.98,0.37,0.0079,-0.0079,121731.47,123874.29
20161207,527155.82,1318.48,1.32,1.0,127155.82,627.55,927.27,400391.22,82597.32,236.33,0.25,0.0025,-0.0025,125837.34,125837.34
20161208,528367.96,1212.13,1.32,1.0,128367.96,2042.9,-631.97,401844.1,114431.12,198.8,0.23,0.0023,-0.0023,127155.82,127155.82
20161209,525660.15,-2707.81,1.31,0.99,125660.15,-2243.18,-122.29,397414.48,41208.33,342.34,-0.51,-0.0051,0.0051,128367.96,128367.96
20161212,524520.68,-1139.46,1.31,1.0,124520.68,-148.92,-810.61,399671.14,20951.37,179.94,-0.73,-0.0022,0.0022,125660.15,128367.96
20161213,524083.74,-436.94,1.31,1.0,124083.74,-800.09,503.31,399059.75,44900.94,140.16,-0.81,-0.0008,0.0008,124520.68,128367.96
20161214,524201.15,117.41,1.31,1.0,124201.15,832.31,-501.31,400618.72,49213.55,213.59,-0.79,0.0002,-0.0002,124083.74,128367.96
20161215,524068.15,-133.0,1.31,1.0,124068.15,121.17,-11.92,399878.92,38166.58,242.25,-0.81,-0.0003,0.0003,124201.15,128367.96
20161216,525026.57,958.43,1.31,1.0,125026.57,1492.07,-348.7,401307.12,42243.26,184.95,-0.63,0.0018,-0.0018,124068.15,128367.96
20161219,525218.74,192.16,1.31,1.0,125218.74,814.22,-371.02,400563.19,50560.86,251.03,-0.6,0.0004,-0.0004,125026.57,128367.96
20161220,524263.86,-954.88,1.31,1.0,124263.86,-98.55,-617.61,399662.73,62683.52,238.72,-0.78,-0.0018,0.0018,125218.74,128367.96
